Irena,Maciejewski38,4626,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,38@pjwstk.edu.pl,Adam,Alina
Adam,Jankowski39,4446,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,39@pjwstk.edu.pl,Adam,Alina
Kacper,Kowalski40,4396,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,40@pjwstk.edu.pl,Adam,Alina
Paweł,Nowak41,4902,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,41@pjwstk.edu.pl,Adam,Alina
Aleksandra,Brzęczyszczykiewicz42,4434,2000-02-12,Sztuka Nowych Mediów zaoczne,Zaoczne,42@pjwstk.edu.pl,Adam,Alina
Katarzyna,Maciejewski43,4517,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,43@pjwstk.edu.pl,Adam,Alina
Grzegorz,Jankowski44,4705,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,44@pjwstk.edu.pl,Adam,Alina
Adrian,Kowalski45,4661,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,45@pjwstk.edu.pl,Adam,Alina
Jan,Nowak46,4842,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,46@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz47,4709,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,47@pjwstk.edu.pl,Adam,Alina
Iga,Maciejewski48,4792,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,48@pjwstk.edu.pl,Adam,Alina
Jakub,Jankowski49,4789,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,49@pjwstk.edu.pl,Adam,Alina
Maria,Kowalski50,4708,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,50@pjwstk.edu.pl,Adam,Alina
Artur,Nowak51,4404,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,51@pjwstk.edu.pl,Adam,Alina
Sabina,Brzęczyszczykiewicz52,4513,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,52@pjwstk.edu.pl,Adam,Alina
Łukasz,Maciejewski53,4442,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,53@pjwstk.edu.pl,Adam,Alina
Marcin,Jankowski54,4732,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,54@pjwstk.edu.pl,Adam,Alina
Rafał,Kowalski55,4506,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,55@pjwstk.edu.pl,Adam,Alina
Jan,Nowak56,4649,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,56@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz57,4755,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,57@pjwstk.edu.pl,Adam,Alina
